МО:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,17541,17541,17352,19312,21058,21864,23218,22950,22956,23593,17896,17896
Балтийский,68217,68217,45244,42968,46198,42450,44281,43769,30429,49319,39866,39866
г. Калининград,583192,583192,586603,561695,547335,575905,563463,589610,586626,624129,493719,493719
Гвардейский,21619,21619,21863,22479,24844,25767,27362,26954,27101,28138,21166,21166
Гурьевский,36956,36956,36785,39777,44906,44705,47819,47692,51519,55201,43844,43844
Гусевский,36774,36774,34998,36979,36849,36253,36699,36205,37771,37744,31529,31529
Зеленоградский,25324,25324,24944,26710,29235,29855,32271,31840,33888,35868,28411,28411
Краснознаменский,7809,7809,7699,8371,8639,9361,9491,9646,9406,9476,7522,7522
Ладушкинский,5468,5468,5485,6218,6019,4778,6218,...,6468,6711,5635,5635
Мамоновский,7608,7608,7507,7864,8642,8326,8639,145491,8732,9096,7504,7504
Неманский,20018,20018,19363,20194,...,19413,20003,19427,19406,20127,15633,15633
Нестеровский,11232,11232,11426,12181,13800,14020,14276,14480,14464,14649,11651,11651
Озерский,9592,9592,9594,10478,13118,13248,14426,14231,14465,14012,12143,12143
Пионерский,16632,16632,16516,16434,16596,15679,16108,...,16725,17717,13630,13630
Полесский,11353,11353,11334,11979,13671,15000,15455,14949,14634,14396,11366,11366
Правдинский,13414,13414,13285,14256,16506,18050,19200,19470,19275,19166,14486,14486
Светловский,40837,40837,38889,39475,39224,34174,34853,33189,34154,34942,27095,27095
Светлогорский,16194,16194,16233,18483,18221,18326,18302,419192,20265,21678,16909,16909
Славский,10846,10846,10666,11131,12713,14260,14382,14780,14777,14052,11003,11003
Советский,41908,41908,39178,41498,43887,42089,42179,41552,42351,43590,33619,33619
Черняховский,53366,53366,53344,54731,58862,57965,58594,56215,58037,57807,47537,47537
Янтарный,7089,7089,6517,6379,6384,6523,6558,...,6291,6632,5115,5115
